year,title,authors,decision,confidence,matched_terms,url
2025,GeSubNet: Gene Interaction Inference for Disease Subtype Network Generation,"Ziwei Yang, Zheng Chen, Xin Liu, Rikuto Kotoge, Peng Chen, Yasuko Matsubara, Yasushi Sakurai, Jimeng Sun",ICLR 2025 Oral,high,gene expression,https://openreview.net/forum?id=ja4rpheN2n
2025,Discrete Copula Diffusion,"Anji Liu, Oliver Broadrick, Mathias Niepert, Guy Van den Broeck",ICLR 2025 Poster,low,DNA,https://openreview.net/forum?id=FXw0okNcOb
2025,Balanced Ranking with Relative Centrality: A multi-core periphery perspective,"Chandra Sekhar Mukherjee, Jiapeng Zhang",ICLR 2025 Poster,high,single-cell,https://openreview.net/forum?id=21rSeWJHPF
2025,ReNovo: Retrieval-Based \emph{De Novo} Mass Spectrometry Peptide Sequencing,"Shaorong Chen, Jun Xia, Jingbo Zhou, Lecheng Zhang, Zhangyang Gao, Bozhen Hu, Cheng Tan, Wenjie Du, Stan Z. Li",ICLR 2025 Poster,high,proteom; sequencing,https://openreview.net/forum?id=uQnvYP7yX9
2025,Fine-Tuning Discrete Diffusion Models via Reward Optimization with Applications to DNA and Protein Design,"Chenyu Wang, Masatoshi Uehara, Yichun He, Amy Wang, Avantika Lal, Tommi Jaakkola, Sergey Levine, Aviv Regev, Hanchen, Tommaso Biancalani",ICLR 2025 Poster,low,DNA,https://openreview.net/forum?id=G328D1xt4W
2025,Variational Search Distributions,"Daniel M. Steinberg, Rafael Oliveira, Cheng Soon Ong, Edwin V. Bonilla",ICLR 2025 Poster,low,DNA,https://openreview.net/forum?id=1vrpdV9U3i
2025,STAR: Synthesis of Tailored Architectures,"Armin W Thomas, Rom Parnichkun, Alexander Amini, Stefano Massaroli, Michael Poli",ICLR 2025 Oral,high,genom,https://openreview.net/forum?id=HsHxSN23rM
2025,Nonlinear Sequence Embedding by Monotone Variational Inequality,"Jonathan Yuyang Zhou, Yao Xie",ICLR 2025 Spotlight,high,RNA-seq; genom,https://openreview.net/forum?id=U834XHJuqk
2025,Protein Language Model Fitness is a Matter of Preference,"Cade W Gordon, Amy X. Lu, Pieter Abbeel",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=UvPdpa4LuV
2025,FACTS: A Factored State-Space Framework for World Modelling,"Li Nanbo, Firas Laakom, Yucheng XU, Wenyi Wang, Jürgen Schmidhuber",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=dmCGjPFVhF
2025,Unlocking Guidance for Discrete State-Space Diffusion and Flow Models,"Hunter Nisonoff, Junhao Xiong, Stephan Allenspach, Jennifer Listgarten",ICLR 2025 Poster,low,DNA,https://openreview.net/forum?id=XsgHl54yO7
2025,Multi-Modal and Multi-Attribute Generation of Single Cells with CFGen,"Alessandro Palma, Till Richter, Hanyi Zhang, Manuel Lubetzki, Alexander Tong, Andrea Dittadi, Fabian J Theis",ICLR 2025 Poster,high,RNA-seq; gene expression; genom; single-cell,https://openreview.net/forum?id=3MnMGLctKb
2025,Bridging the Gap between Database Search and \emph{De Novo} Peptide Sequencing with SearchNovo,"Jun Xia, Sizhe Liu, Jingbo Zhou, Shaorong Chen, hongxin xiang, Zicheng Liu, Yue Liu, Stan Z. Li",ICLR 2025 Poster,high,sequencing,https://openreview.net/forum?id=SjMtxqdQ73
2025,Meta Flow Matching: Integrating Vector Fields on the Wasserstein Manifold,"Lazar Atanackovic, Xi Zhang, Brandon Amos, Mathieu Blanchette, Leo J Lee, Yoshua Bengio, Alexander Tong, Kirill Neklyudov",ICLR 2025 Poster,high,single-cell,https://openreview.net/forum?id=9SYczU3Qgm
2025,Alchemy: Amplifying Theorem-Proving Capability Through Symbolic Mutation,"Shaonan Wu, Shuai Lu, Yeyun Gong, Nan Duan, Ping Wei",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=7NL74jUiMg
2025,Agent Skill Acquisition for Large Language Models via CycleQD,"So Kuroki, Taishi Nakamura, Takuya Akiba, Yujin Tang",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=Kvdh12wGC0
2025,COPER: Correlation-based Permutations for Multi-View Clustering,"Ran Eisenberg, Jonathan Svirsky, Ofir Lindenbaum",ICLR 2025 Spotlight,low,mutation,https://openreview.net/forum?id=5ZEbpBYGwH
2025,Analysis of Linear Mode Connectivity via Permutation-Based Weight Matching: With Insights into Other Permutation Search Methods,"Akira Ito, Masanori Yamada, Atsutoshi Kumagai",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=lYRkGZZi9D
